review_id,parent_asin,verified_purchase,user_id
4,B00ANG3T1S,False,AGLQQCIS5V6EGUCS5SSNHWZHQM6Q
5,B00K4PAP06,False,AFLX66DKF6R3H6OEOC3TIVAYXZIQ
6,B009AU2JT6,False,AFLX66DKF6R3H6OEOC3TIVAYXZIQ
9,B001U5617K,True,AH3MI5ZVSQJ7YGU34NE365VY6UNQ
10,B01B16MXLU,True,AFD2SYZ6L3OELGTTAK4K7CJIL4RA
11,B07K8JJWJV,True,AGWT2JKKZFMS3PUJA2AYDDYB7A6A
12,B0C6DPGSLD,True,AEQPHAPE7DLD5HI67M5KN2K6GZIQ
13,B07K4QJGSC,True,AFEKSX6KHE5X4CS7AJP7SRILGADA
16,B09YBS4TVK,False,AFXAMSEN6MT4WQHSXCV4JRGXWODA
17,B09KTWWMBJ,False,AFXAMSEN6MT4WQHSXCV4JRGXWODA
22,B0BB44M4F3,True,AGRCXLTGTB22IAXC4P4D4FOHABEA
23,B078RPG9VS,True,AGRI5WOUDVPHH75TTYW6IWNTJ5HA
24,B08YKFKX4V,False,AHBXZHG7DTKJCR5NLY73MPGTYCLA
65,B0BN7PCGX1,True,AG36CFYDH7ALJNZJBGTYGOPRUOKQ
257,B0C2ZMJW53,True,AGRRA7NPYW6RNMYJAXURR2TDBXPQ
26,B000UDISEW,False,AGSXMEKFKM2HDFZ4UNE676O6D5LQ
30,B01CZ5VKVA,True,AHA3TMQH4KVEZ7HWEUXWTIIX5GMA
31,B08HHGM3MB,True,AEIG2SR2DI54UYJTWRQJBSEV76FQ
32,B083W4N1Z2,True,AHMJ3VLXQH4H3YVUJYQ2WUJMFO2A
34,B01HBJ60ME,True,AG2LZSJSXLJYLU4OCMPN3DZG3T5Q
37,B01CZ5VKVA,True,AHTKWGXRYOT4YWOUZRMH43RMB2QQ
39,B00JW6O9EQ,True,AEY6KQG74V3PTJ6SPMXKPZQ6DHDQ
42,B01GI6EX4I,True,AFALY4R2JPCOH6ZLPIW2RFXP32PQ
46,B01MRS3MIS,True,AE2IXS44ZDWKYFI3RAH5S7OEQW6Q
48,B0BY2XKFT8,True,AHI7YMLYYP54YBRP3H6V6ECY7YOQ
50,B07RY3RVVY,True,AEYDL6XGKZ3VWTV5EJOO3I7ZC5IA
51,B09JQCTKVC,False,AHXWUCTMVBQXDVMDFPA3NO43QF2Q
52,B0827FB789,False,AGKHDQO3Q74QAOVEQEIZ3BMSDEBA
98,B08K1RH6JJ,True,AHOOVT7QPCXIQWCR3EE335IOYLQA
58,B07P4LFDT7,False,AH5HSMUMRJRDWBPFDQ6G3EAAOSFQ
60,B08XDX7CW8,False,AF6SM2ESLD534XWS7P6PFSL257CA
63,B07KNLVRJ2,True,AHJEF5IKAYNNM2NCWXBZMHA6PPAA
66,B01M0566PR,True,AEHLBQARSH466TRYTOJ2Y4N2N6FA
67,B07MTV25N8,True,AHXGGSONLOKPOC42S4ZLTSIHNRDQ
70,B0CCPKH7PX,True,AE5NFDZJJGIEGA2IZ7EXACXAWV7A
73,B081Z67TVD,True,AH6DWZI2DXGPLGS4CRX53OLISSYA
74,B07XQQRCG5,False,AGRPLHGW2CR6WWOHT5TOWXDGIZEQ
76,B00FNPD1VW,True,AEYVPPWR4CIKWX4BGYKCBCDL2CZQ
110,B00OZJQVTG,True,AGVGYNHH6IUYWZPY5IC2OYJFRKXA
82,B07THN4VB9,True,AFOVVOUEGIMA2YTUZLUJVKWSVICA
83,B07G65DGXS,True,AHJ6LBX6EVYGOOHJHTHBZ2NJJX3A
84,B0BKTBD37R,True,AESXZ2HAXCMBYQONLNPTQNJT2OCQ
85,B07RJ687N3,True,AFDKKZNMZV56UKKP4TWTDELFGYWQ
92,B07CSQDR4N,True,AF5SAGY3WAQ46FAMS4AT6S443EMQ
94,B07RCSSNT1,False,AGBG3KK74IKWJNQVMQAGVBWJ7FAQ
95,B09Y2FZBKG,True,AE22BZ4I2434QRWLOQ52XURGWREA
258,B07G54S6VC,True,AHRRQR7H4LMDMBZGABCIEF3MLD6Q
99,B009T3EYHO,True,AEGBGHJKVVKSN2FIASLFWE2P32UA
101,B081JY7ZJD,True,AG46YQLUFWNO3ANCSWFFZ6YU6RCQ
102,B07T5RGLZV,False,AGFW46RRKAK63GZ73CPNHBIOFVZA
