review_id,parent_asin,user_id,verified_purchase
75538,B083135970,USER3993109,False
46847,B075441249,USER5961560,False
11317,B024234505,USER3723720,False
34849,B083135970,USER2813284,True
51947,B083135970,USER9130729,False
71549,B044623240,USER7281670,True
54520,B049330481,USER0266458,False
56281,B057647566,USER0753366,True
93016,B024234505,USER1741843,True
93798,B083135970,USER3448058,False
85690,B066953200,USER5027643,False
52377,B075441249,USER0991518,True
41130,B075441249,USER8896640,False
31969,B057647566,USER9417089,False
33586,B096664452,USER0416141,True
53644,B049330481,USER4638250,False
60847,B083135970,USER5112240,False
38803,B040627921,USER9562311,True
14845,B075441249,USER2858680,True
47188,B040627921,USER1813084,True
89529,B056122271,USER2221016,True
48964,B040627921,USER3843712,False
74136,B024234505,USER5636179,False
54239,B044623240,USER9724486,False
77800,B049330481,USER6474214,True
71200,B083135970,USER5439962,True
77868,B075441249,USER3860762,True
16465,B057647566,USER0639540,False
42145,B083135970,USER8738985,False
68908,B066953200,USER2618746,True
